id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
105,LCCE26646,"CG 1.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3",,Nos,CG,,MOTOR
106,LCCR07502,"GI sheet 0.8mm THK 120 GSM",0.8,Kgs,OEM,,"G.I / COATED SHEETS"
107,LAHC14307,"PRE FILTER EU3 GRADE - 290 MM (W) x 595 MM (H) x 48MM (D)",,Nos,OEM,"PRE FILTER",FILTER
108,LCCH23604,"SS DRAIN CAP 1 1/2 inch x 100mm L",,Nos,OEM,,Hardware
109,LCCH30011,"HEX HEAD BOLT GI M10 x 50",,Nos,OEM,,FASTENERS
110,LCCE26403,"ABB 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2",,Nos,ABB,,MOTOR
111,LAHN60006,ISOL,,Kgs,OEM,,ISO-CYNATE
112,LCCE26975,"BHARATH BIJILEE 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3",,Nos,"BHARATH BIJILEE",,MOTOR
113,LCCE26329,"ABB 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1",,Nos,ABB,,MOTOR
114,LCCE26457,"ABB 37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3",,Nos,ABB,,MOTOR
